

,,Filter Size,Logged,Missed
,,0x18A,714963,4294297444,45111
,,0x189,726480,4294285926,45110
,,0x18C,713374,4294299033,45111
,,0x209,727270,4294285136,45110
,,0x187,701943,4294310460,45107
,,0x18E,714521,4294297886,45111
,,0x207,719951,4294292452,45107
,,0x20B,721224,4294291183,45111
,,0x20D,721250,4294291155,45109
,,0x287,727964,4294284439,45107
,,0x289,728107,4294284299,45110
,,0x28B,728168,4294284239,45111
,,0x28D,727665,4294284740,45109
,,0x307,728792,4294283611,45107
,,0x309,728832,4294283574,45110
,,0x30B,728949,4294283458,45111
,,0x30D,728887,4294283518,45109
,,0x387,728991,4294283412,45107
,,0x389,729105,4294283301,45110
,,0x38B,729141,4294283266,45111
,,0x38D,729143,4294283262,45109
,,0x407,729068,4294283335,45107
,,0x409,729059,4294283347,45110
,,0x40B,729135,4294283272,45111
,,0x40D,729058,4294283347,45109

,,20,1297441,10736
,,0x385,759762,4294252645,45111
,,0x18B,768168,4294244239,45111
,,0x188,757896,4294254511,45111
,,0x18D,772185,4294240220,45109
,,0x18A,758490,4294253917,45111
,,0x189,771417,4294240989,45110
,,0x18C,756895,4294255512,45111
,,0x209,772112,4294240294,45110
,,0x187,747003,4294265400,45107
,,0x18E,758042,4294254365,45111
,,0x207,765013,4294247390,45107
,,0x20B,766290,4294246117,45111
,,0x20D,766327,4294246078,45109
,,0x287,773036,4294239367,45107
,,0x289,773176,4294239230,45110
,,0x28B,773243,4294239164,45111
,,0x28D,772748,4294239657,45109
,,0x307,773868,4294238535,45107
,,0x309,773904,4294238502,45110
,,0x30B,774024,4294238383,45111
,,0x30D,773970,4294238435,45109
,,0x387,774071,4294238332,45107
,,0x389,774192,4294238214,45110
,,0x38B,774230,4294238177,45111
,,0x38D,774241,4294238164,45109
,,0x407,773745,4294238658,45107
,,0x409,774084,4294238322,45110
,,0x40B,774234,4294238173,45111
,,0x40D,774164,4294238241,45109

,,21,1294773,13404
,,0x385,803622,4294208785,45111
,,0x18B,806808,4294205599,45111
,,0x188,801628,4294210779,45111
,,0x18D,815359,4294197046,45109
,,0x18A,802260,4294210147,45111
,,0x189,816018,4294196388,45110
,,0x18C,800630,4294211777,45111
,,0x209,816631,4294195775,45110
,,0x187,792068,4294220335,45107
,,0x18E,801796,4294210611,45111
,,0x207,810077,4294202326,45107
,,0x20B,811368,4294201039,45111
,,0x20D,811415,4294200990,45109
,,0x287,818126,4294194277,45107
,,0x289,818266,4294194140,45110
,,0x28B,818333,4294194074,45111
,,0x28D,817839,4294194566,45109
,,0x307,818964,4294193439,45107
,,0x309,818996,4294193410,45110
,,0x30B,819118,4294193289,45111
,,0x30D,819063,4294193342,45109
,,0x387,819170,4294193233,45107
,,0x389,819286,4294193120,45110
,,0x38B,819332,4294193075,45111
,,0x38D,819253,4294193152,45109
,,0x407,818514,4294193889,45107
,,0x409,818958,4294193448,45110
,,0x40B,819333,4294193074,45111
,,0x40D,819267,4294193138,45109

,,22,1290968,17209
,,0x385,848278,4294164129,45111
,,0x18B,843387,4294169020,45111
,,0x188,846198,4294166209,45111
,,0x18D,854860,4294157545,45109
,,0x18A,846662,4294165745,45111
,,0x189,860368,4294152038,45110
,,0x18C,845097,4294167310,45111
,,0x209,857339,4294155067,45110
,,0x187,837122,4294175281,45107
,,0x18E,846324,4294166083,45111
,,0x207,855112,4294157291,45107
,,0x20B,856433,4294155974,45111
,,0x20D,856508,4294155897,45109
,,0x287,863200,4294149203,45107
,,0x289,863363,4294149043,45110
,,0x28B,863438,4294148969,45111
,,0x28D,862946,4294149459,45109
,,0x307,864068,4294148335,45107
,,0x309,864094,4294148312,45110
,,0x30B,864225,4294148182,45111
,,0x30D,864169,4294148236,45109
,,0x387,864273,4294148130,45107
,,0x389,864330,4294148076,45110
,,0x38B,864439,4294147968,45111
,,0x38D,864359,4294148046,45109
,,0x407,863613,4294148790,45107
,,0x409,864043,4294148363,45110
,,0x40B,864439,4294147968,45111
,,0x40D,864376,4294148029,45109

,,23,1285565,22612
,,0x385,893264,4294119143,45111
,,0x18B,879799,4294132608,45111
,,0x188,891193,4294121214,45111
,,0x18D,891212,4294121193,45109
,,0x18A,891018,4294121389,45111
,,0x189,904531,4294107875,45110
,,0x18C,889620,4294122787,45111
,,0x209,894395,4294118011,45110
,,0x187,882114,4294130289,45107
,,0x18E,891136,4294121271,45111
,,0x207,900122,4294112281,45107
,,0x20B,901461,4294110946,45111
,,0x20D,901571,4294110834,45109
,,0x287,908255,4294104148,45107
,,0x289,908445,4294103961,45110
,,0x28B,908543,4294103864,45111
,,0x28D,908048,4294104357,45109
,,0x307,909158,4294103245,45107
,,0x309,909190,4294103216,45110
,,0x30B,909334,4294103073,45111
,,0x30D,909267,4294103138,45109
,,0x387,909362,4294103041,45107
,,0x389,909415,4294102991,45110
,,0x38B,909516,4294102891,45111
,,0x38D,909377,4294103028,45109
,,0x407,908567,4294103836,45107
,,0x409,909130,4294103276,45110
,,0x40B,909550,4294102857,45111
,,0x40D,909485,4294102920,45109

,,24,1279015,29162
,,0x385,938299,4294074108,45111
,,0x18B,922752,4294089655,45111
,,0x188,936250,4294076157,45111
,,0x18D,934236,4294078169,45109
,,0x18A,935819,4294076588,45111
